uf,tipo_area,sexo,idade,cor,pessoas_dom,freq_esc,nivel_instrucao,ocup_forca,trab_procurou,motivo_ntrab,serv_pub,ocup_cond,ocup_desc,ocup_cod,ocup_grupo,ocup_pos,ocup_pos2,ativ_cod,ativ_grupo,prev,ocup_horas,rendimento,rendimento_total
33,4,masculino,7,1,4,1.0,sem_instrucao,,,,,,,,,,,,,,,,
53,1,feminino,31,1,4,2.0,superior,2.0,2.0,1.0,,,,,,,,,,,,,
35,4,feminino,19,1,1,2.0,fundamental_inc,1.0,1.0,,,2.0,,,,,,,,,,,
23,4,masculino,32,4,4,2.0,medio,1.0,,,,1.0,atend_bar,5132.0,5.0,1.0,1.0,56011.0,6.0,1.0,4.0,937.0,937.0
35,2,masculino,30,4,2,2.0,superior,1.0,,,,1.0,ajud_cozinha,9412.0,9.0,1.0,1.0,74000.0,7.0,1.0,3.0,1600.0,1600.0
52,1,masculino,52,1,4,2.0,superior,1.0,,,,1.0,superv_ind_transf,3122.0,3.0,1.0,1.0,10099.0,2.0,1.0,3.0,7000.0,7000.0
16,2,feminino,20,4,4,2.0,medio,1.0,1.0,,,2.0,,,,,,,,,,,
41,1,masculino,22,1,3,1.0,superior_inc,1.0,,,,1.0,agen_imob,3334.0,3.0,5.0,9.0,68000.0,7.0,1.0,3.0,1000.0,1000.0
33,1,masculino,36,1,1,2.0,medio,1.0,,,,1.0,tecnico_eletronica,3114.0,3.0,1.0,1.0,18000.0,2.0,1.0,3.0,1700.0,1600.0
51,4,feminino,8,4,4,1.0,fundamental_inc,,,,,,,,,,,,,,,,
28,1,masculino,53,4,4,2.0,fundamental_inc,1.0,1.0,,,2.0,,,,,,,,,,,
33,1,masculino,12,4,4,1.0,fundamental_inc,,,,,,,,,,,,,,,,
27,4,masculino,30,4,5,2.0,fundamental_inc,1.0,1.0,,,2.0,,,,,,,,,,,
21,2,feminino,8,4,4,1.0,fundamental_inc,,,,,,,,,,,,,,,,
21,4,feminino,4,2,5,,,,,,,,,,,,,,,,,,
33,4,feminino,41,4,4,2.0,superior,1.0,,,1.0,1.0,prof_ensino_medio,2330.0,2.0,3.0,7.0,85013.0,9.0,1.0,2.0,937.0,880.0
33,4,feminino,30,1,4,2.0,medio,1.0,,,,1.0,esp_trat_beleza,5142.0,5.0,5.0,9.0,96020.0,10.0,1.0,5.0,1800.0,1600.0
52,2,feminino,42,1,4,2.0,superior,1.0,,,,1.0,advogado_jurista,2611.0,2.0,5.0,9.0,69000.0,7.0,2.0,3.0,3000.0,3000.0
29,4,masculino,55,4,3,2.0,sem_instrucao,1.0,,,,1.0,criador_gado,6121.0,6.0,1.0,2.0,1201.0,1.0,2.0,5.0,400.0,400.0
12,4,feminino,3,4,4,,,,,,,,,,,,,,,,,,
25,2,feminino,23,4,9,1.0,medio_inc,2.0,2.0,6.0,,,,,,,,,,,,,
29,4,masculino,74,4,4,2.0,sem_instrucao,2.0,2.0,4.0,,,,,,,,,,,,,
21,4,masculino,38,4,5,2.0,medio,1.0,,,1.0,1.0,eletric_obra,7411.0,7.0,3.0,7.0,84013.0,8.0,1.0,2.0,1000.0,1000.0
15,4,masculino,16,1,4,1.0,fundamental_inc,2.0,2.0,2.0,,,,,,,,,,,,,
11,1,masculino,20,4,5,2.0,medio,1.0,,,,1.0,tecnico_eng_mecanica,3115.0,3.0,1.0,2.0,43000.0,3.0,2.0,3.0,937.0,937.0
51,1,masculino,1,1,3,,,,,,,,,,,,,,,,,,
24,2,masculino,30,4,6,2.0,fundamental_inc,2.0,2.0,6.0,,,,,,,,,,,,,
22,3,masculino,35,1,4,2.0,sem_instrucao,1.0,,,,1.0,agricultor,6111.0,6.0,5.0,9.0,1109.0,1.0,2.0,2.0,200.0,200.0
11,1,masculino,43,1,4,2.0,sem_instrucao,1.0,,,,1.0,guarda_seg,5414.0,5.0,1.0,1.0,48080.0,4.0,1.0,2.0,1900.0,3500.0
15,4,masculino,3,4,5,,,,,,,,,,,,,,,,,,
31,4,feminino,4,1,4,,,,,,,,,,,,,,,,,,
31,4,feminino,27,1,4,2.0,superior,1.0,,,1.0,1.0,trab_comunit_saude,3253.0,3.0,3.0,7.0,86002.0,9.0,1.0,3.0,937.0,937.0
23,4,feminino,36,4,2,2.0,medio_inc,1.0,,,,1.0,trab_serv_domest,9111.0,9.0,2.0,4.0,97000.0,11.0,2.0,1.0,80.0,80.0
51,4,masculino,42,1,3,2.0,fundamental_inc,1.0,,,,1.0,op_maq_agric_florestal,8341.0,8.0,1.0,1.0,1107.0,1.0,1.0,5.0,1200.0,1200.0
29,2,masculino,25,4,4,1.0,superior_inc,1.0,1.0,,,2.0,,,,,,,,,,,
43,4,feminino,44,1,4,2.0,fundamental,1.0,,,,1.0,trab_serv_domest,9111.0,9.0,2.0,3.0,97000.0,11.0,1.0,3.0,937.0,937.0
27,4,masculino,13,1,5,1.0,fundamental_inc,,,,,,,,,,,,,,,,
35,1,masculino,1,4,6,,,,,,,,,,,,,,,,,,
31,1,feminino,0,4,4,,,,,,,,,,,,,,,,,,
23,4,masculino,39,4,4,2.0,medio,1.0,,,,1.0,vend_amb_alimento,5212.0,5.0,5.0,9.0,56020.0,6.0,2.0,5.0,400.0,0.0
14,4,masculino,18,4,6,1.0,medio_inc,2.0,2.0,2.0,,,,,,,,,,,,,
27,1,feminino,44,1,4,2.0,fundamental,1.0,,,,1.0,balc_vend_loja,5223.0,5.0,1.0,1.0,48030.0,4.0,1.0,3.0,936.0,936.0
28,1,feminino,41,1,3,2.0,superior,2.0,2.0,3.0,,,,,,,,,,,,,
43,4,masculino,29,4,4,2.0,fundamental_inc,1.0,,,,1.0,pintor_empap,7131.0,7.0,1.0,2.0,43000.0,3.0,2.0,3.0,937.0,937.0
26,1,masculino,43,1,3,2.0,medio,1.0,,,,1.0,vend_amb_alimento,5212.0,5.0,5.0,9.0,56020.0,6.0,2.0,3.0,200.0,200.0
41,1,feminino,19,1,3,1.0,superior_inc,1.0,,,,1.0,escriturario_geral,4110.0,4.0,1.0,2.0,18000.0,2.0,1.0,2.0,600.0,600.0
11,4,masculino,54,4,1,2.0,fundamental_inc,1.0,,,,1.0,criador_gado,6121.0,6.0,5.0,9.0,1201.0,1.0,1.0,2.0,1200.0,1200.0
32,2,masculino,21,4,5,2.0,medio,1.0,1.0,,,2.0,,,,,,,,,,,
43,4,feminino,9,1,7,1.0,fundamental_inc,,,,,,,,,,,,,,,,
12,4,masculino,26,4,3,2.0,fundamental,1.0,,,,1.0,op_maq_alim,8160.0,8.0,5.0,9.0,10091.0,2.0,2.0,3.0,350.0,350.0
35,2,feminino,23,1,4,2.0,medio,1.0,,,,1.0,trab_cent_atend,4222.0,4.0,1.0,2.0,82002.0,7.0,2.0,4.0,1000.0,1000.0
41,4,feminino,50,4,3,2.0,fundamental,1.0,,,,1.0,pedreiros,7112.0,7.0,5.0,9.0,56011.0,6.0,1.0,5.0,900.0,908.0
21,4,masculino,9,4,4,1.0,fundamental_inc,,,,,,,,,,,,,,,,
26,1,feminino,73,1,1,2.0,superior,2.0,2.0,4.0,,,,,,,,,,,,,
28,1,feminino,17,4,2,2.0,fundamental,1.0,1.0,,,2.0,,,,,,,,,,,
51,4,feminino,45,1,2,2.0,superior,2.0,2.0,5.0,,,,,,,,,,,,,
31,4,feminino,57,1,3,2.0,medio,2.0,2.0,1.0,,,,,,,,,,,,,
51,4,feminino,48,4,2,2.0,fundamental_inc,2.0,2.0,1.0,,,,,,,,,,,,,
29,4,feminino,9,1,3,1.0,fundamental_inc,,,,,,,,,,,,,,,,
28,4,feminino,19,4,5,2.0,medio_inc,2.0,2.0,6.0,,,,,,,,,,,,,
31,4,masculino,40,4,3,2.0,fundamental_inc,1.0,,,,1.0,op_empilhadeira,8344.0,8.0,1.0,1.0,20090.0,2.0,1.0,3.0,1900.0,1900.0
23,4,feminino,59,4,3,2.0,sem_instrucao,2.0,2.0,1.0,,,,,,,,,,,,,
31,4,masculino,12,1,4,1.0,fundamental_inc,,,,,,,,,,,,,,,,
35,1,masculino,21,1,3,2.0,medio,1.0,,,,1.0,escriturario_geral,4110.0,4.0,1.0,1.0,56011.0,6.0,1.0,4.0,1118.0,1118.0
15,4,masculino,24,4,3,2.0,medio,2.0,2.0,6.0,,,,,,,,,,,,,
24,4,masculino,24,4,5,2.0,medio,2.0,2.0,6.0,,,,,,,,,,,,,
21,4,feminino,23,4,4,1.0,medio_inc,1.0,1.0,,,2.0,,,,,,,,,,,
33,4,masculino,30,1,3,2.0,medio,1.0,,,,1.0,trab_limp_interior_edif_esc_hotel,9112.0,9.0,1.0,1.0,10030.0,2.0,1.0,3.0,1100.0,1100.0
43,4,masculino,38,1,3,2.0,fundamental,1.0,,,,1.0,soldador_oxicortador,7212.0,7.0,1.0,2.0,25001.0,2.0,2.0,3.0,2000.0,2000.0
14,1,feminino,54,1,3,2.0,superior,1.0,,,,1.0,diret_geren,1120.0,1.0,1.0,1.0,53001.0,5.0,1.0,3.0,3500.0,3500.0
13,1,masculino,36,4,1,2.0,fundamental,1.0,1.0,,,2.0,,,,,,,,,,,
43,4,masculino,67,1,5,2.0,fundamental_inc,2.0,2.0,4.0,,,,,,,,,,,,,
27,4,feminino,26,4,3,1.0,medio,2.0,2.0,6.0,,,,,,,,,,,,,
21,1,feminino,44,4,2,2.0,superior_inc,2.0,1.0,1.0,,,,,,,,,,,,,
43,4,feminino,5,1,3,1.0,sem_instrucao,,,,,,,,,,,,,,,,
15,4,masculino,49,1,4,2.0,fundamental_inc,1.0,,,,1.0,carregador,9333.0,9.0,5.0,9.0,49040.0,5.0,2.0,3.0,3000.0,3000.0
