uf;ano;taxa
DF;2006;51.863
RO;2006;54.983
RR;2006;38.178
CE;2006;41.047
PR;2006;59.771
RJ;2006;99.547
AP;2006;66.797
AM;2006;42.276
RS;2006;35.064
SE;2006;56.333
SP;2006;37.182
TO;2006;30.472
AL;2006;109.725
BA;2006;46.414
GO;2006;48.62
MA;2006;28.958
AC;2006;41.099
MS;2006;48.516
MT;2006;49.972
DF;2007;61.523
AP;2007;58.797
TO;2007;22.877
AL;2007;122.96
MA;2007;31.875
PI;2007;19.976
RR;2007;38.12
MG;2007;43.543
RO;2007;44.426
PB;2007;43.398
AM;2007;41.768
AC;2007;34.168
MT;2007;43.668
RS;2007;40.343
MS;2007;52.455
PR;2007;62.498
SE;2007;49.374
PA;2007;57.239
BA;2007;51.413
PE;2007;109.306
GO;2007;51.651
RN;2007;34.924
SP;2007;28.426
SC;2007;20.101
RJ;2007;93.526
CE;2007;43.768
ES;2007;102.254
PA;2008;73.615
RS;2008;43.627
RO;2008;47.564
SC;2008;25.01
MS;2008;53.502
RN;2008;44.766
PI;2008;19.995
RJ;2008;79.458
CE;2008;45.929
RR;2008;31.351
TO;2008;31.931
DF;2008;67.698
AP;2008;75.998
GO;2008;59.822
AC;2008;37.614
SP;2008;27.602
MT;2008;50.58
ES;2008;116.894
SE;2008;54.104
AL;2008;127.022
MA;2008;36.545
PR;2008;67.947
BA;2008;70.354
PE;2008;105.641
PB;2008;51.948
MG;2008;41.169
AM;2008;47.289
AL;2009;124.299
BA;2009;81.186
RS;2009;39.311
AM;2009;52.471
PE;2009;92.264
MS;2009;54.758
SC;2009;26.285
SE;2009;56.153
ES;2009;123.124
CE;2009;48.204
AP;2009;57.254
TO;2009;35.276
MG;2009;38.656
AC;2009;38.258
RR;2009;42.355
RO;2009;52.333
MT;2009;55.166
PA;2009;76.514
DF;2009;71.487
RJ;2009;73.223
RN;2009;50.654
GO;2009;60.097
PI;2009;22.057
PB;2009;65.893
PR;2009;73.504
MA;2009;39.594
SP;2009;27.72
MT;2010;54.062
AC;2010;34.461
DF;2010;61.499
RJ;2010;76.7
RN;2010;49.052
RO;2010;49.83
AP;2010;81.703
RR;2010;38.866
MS;2010;44.031
ES;2010;109.357
PE;2010;82.005
SE;2010;59.259
AM;2010;61.683
MG;2010;37.926
PB;2010;81.207
RS;2010;37.226
PA;2010;86.244
PR;2010;72.688
MA;2010;43.274
CE;2010;61.926
SC;2010;22.655
AL;2010;147.077
SP;2010;24.89
TO;2010;44.909
PI;2010;22.192
BA;2010;90.623
GO;2010;66.167
RR;2011;28.534
PI;2011;25.197
RO;2011;40.851
PR;2011;65.457
CE;2011;64.386
BA;2011;81.257
TO;2011;39.829
MA;2011;41.936
SP;2011;23.158
PB;2011;88.502
RJ;2011;60.71
AL;2011;149.855
MS;2011;45.752
AM;2011;75.778
MT;2011;54.702
AC;2011;33.412
AP;2011;58.055
DF;2011;66.054
MG;2011;43.327
SE;2011;61.977
